datetime,outdoor_temperature_deg_celsius,relative_humidity_per_cent,wind_speed_m_per_s,diffuse_horizontal_radiation_Wh_per_m2,direct_normal_radiation_Wh_per_m2,ZONE+00_+00_+00:Zone Operative Temperature [C](Hourly),heating_J,cooling_J,heating_kWh,cooling_kWh,internal_gains_kWh,infiltration_energy_kWh,ventilation_energy_kWh,inside_conduction_energy_kWh,windows_energy_constant_temperature_kWh
2020-07-18 04:00:00,14.96,85.0,2.21,0.0,0.0,24.1452720326852,0.0,0.0,0.0,0.0,0.0,-1.4851271178620922,0.0,3.3929272598121614,-1.9078001419500692
2020-07-18 05:00:00,14.82,86.0,1.66,61.1,185.57,24.164768539864404,0.0,0.0,0.0,0.0,0.0,-1.575618812557651,0.0,-2.0011661845059927,3.5767849970636436
2020-07-18 06:00:00,15.52,82.0,1.93,136.55,224.0,24.19985049471669,0.0,0.0,0.0,0.0,0.0,-1.5059874521350838,0.0,-3.1546068792059563,4.66059433134104
2020-07-18 07:00:00,17.32,78.0,3.31,171.0,245.5,24.269358738593304,0.0,0.0,0.0,0.0,0.0,-0.9640984899023868,0.0,-3.5291915302010803,4.493290020103467
2020-07-18 08:00:00,18.59,68.0,3.72,185.65,229.11,24.24550460415039,0.0,0.0,0.0,0.0,0.0,-1.0011613196900027,0.0,-3.05384216700467,4.055003486694673
2020-07-18 09:00:00,19.65,62.0,3.93,260.9,186.49,24.1381993960326,0.0,0.0,0.0,0.0,0.0,-0.8066421196803306,0.0,-2.816229457635449,3.6228715773157796
2020-07-18 10:00:00,20.67,58.0,3.93,290.1,73.51,24.09302250309592,0.0,0.0,0.0,0.0,0.0,-0.5425928186035779,0.0,-1.574401657747531,2.116994476351109
2020-07-18 11:00:00,21.39,55.0,4.34,231.55,79.95,24.138417234064477,0.0,0.0,0.0,0.0,0.0,-0.417541938808087,0.0,-0.5436911666139883,0.9612331054220753
2020-07-18 12:00:00,21.82,51.0,4.48,265.7,89.36,24.28682339657396,0.0,0.0,0.0,0.0,0.0,-0.5005602929925237,0.0,-1.8312032078413645,2.331763500833888
2020-07-18 13:00:00,22.06,49.0,4.62,185.55,11.26,24.395985458671053,0.0,0.0,0.0,0.0,0.0,-0.4861114521284992,0.0,-0.922826086589008,1.4089375387175072
2020-07-18 14:00:00,21.63,64.0,4.41,142.1,21.02,24.381007648435503,0.0,0.0,0.0,0.0,0.0,0.08069191045385242,0.0,-0.8815047869987285,0.8008128765448761
2020-07-18 15:00:00,21.15,74.0,3.93,178.9,32.22,24.30645505612345,0.0,0.0,0.0,0.0,0.0,-0.05680540804963618,0.0,-1.6399088734868617,1.6967142815364977
2020-07-18 16:00:00,21.04,68.0,4.0,108.3,87.04,24.234806307592464,0.0,0.0,0.0,0.0,0.0,-0.7088768556825344,0.0,-0.9165771736987209,1.6254540293812554
